DATATS,Lon,Lat,DATA
0.0,106.26,32.22,0
0.0,106.02,32.27,0
0.0,106.03,32.26,0
0.0,106.04,32.26,0
0.0,106.55,32.59,0
0.0,106.45,32.49,0
0.0,106.46,32.49,0
0.0,106.44,32.47,0
0.0,106.45,32.46,0
0.0,106.48,32.52,0
0.0,106.37,32.43,0
0.0,106.39,32.43,0
0.0,106.34,32.41,0
0.0,106.35,32.39,0
0.0,106.31,32.37,0
0.0,106.23,32.38,0
0.0,106.29,32.36,0
0.0,106.26,32.37,0
0.0,106.33,32.55,0
0.0,106.33,32.63,0
0.0,106.32,32.62,0
0.0,106.25,32.45,0
0.0,106.28,32.42,0
0.0,106.52,32.18,0
0.0,106.53,32.21,0
0.0,106.3,32.45,0
0.0,106.5,32.45,0
0.0,106.53,32.12,0
0.0,106.54,32.25,0
0.0,106.11,32.17,0
0.0,106.54,32.57,0
0.0,106.64,32.33,0
0.0,106.41,32.17,0
0.0,106.19,32.15,0
0.0,106.47,32.6,0
0.0,106.27,32.5,0
0.0,106.3,32.62,0
0.0,106.23,32.21,0
0.0,106.15,32.41,0
0.0,106.48,32.04,0
0.0,106.06,32.25,0
0.0,106.57,32.46,0
0.0,106.5,32.38,0
0.0,106.12,32.32,0
0.0,106.45,32.24,0
0.0,106.65,32.45,0
0.0,106.34,32.55,0
0.0,106.15,32.22,0
0.0,106.55,32.66,0
0.0,106.26,32.16,0
0.0,106.53,32.55,0
0.0,106.47,32.12,0
0.0,106.37,32.24,0
0.0,106.66,32.28,0
0.0,106.75,32.29,0
0.0,106.26,32.3,0
0.0,106.59,32.39,0
