Name,lon,lat,z
金川县国家站,102.0667,31.4833,0
独松乡,101.9869,31.3514,0
咯尔乡乡政府,102.0697,31.5417,0
撒瓦脚乡木赤村,101.9044,31.5547,0
马奈镇八角塘村,102.0039,31.2453,0
马奈镇卡卡足村,101.9372,31.1739,0
曾达乡坛罐窑村,102.0531,31.1667,0
安宁镇炭厂沟村,102.0975,31.2861,0
卡拉脚乡乡政府,101.9103,31.6142,0
集沐乡周山村,102.0053,31.6575,0
河西乡乡政府,102.0431,31.41,0
河东乡八子口村,102.0569,31.3989,0
毛日乡乡政府,101.6711,31.5464,0
勒乌镇八部里村,102.0292,31.4822,0
沙尔乡乡政府,102.0614,31.5161,0
安宁镇甘牛,102.02,31.2833,0
集沐乡乡政府,102.02,31.7144,0
县城城关,102.0642,31.4753,0
卡撒乡乡政府,102.0994,31.2567,0
观音桥镇观音村,101.6406,31.8036,0
咯尔乡德胜村,102.0783,31.5647,0
马奈镇耿扎村,101.9211,31.1603,0
庆宁乡新沙村,102.0581,31.6122,0
勒乌镇苟尔光村,102.1197,31.4264,0
独松乡正里塘村,101.9733,31.3725,0
二嘎里乡查拉沟村,101.5619,31.8056,0
观音桥镇松都村,101.7153,31.7411,0
勒乌镇新开村,102.1228,31.5189,0
集沐乡业隆村,101.8611,31.8153,0
观音桥镇斯玛都村,101.6347,31.7839,0
勒乌镇西里寨村,102.1361,31.3889,0
庆宁乡,102.065,31.5511,0
卡撒乡布达村,102.1522,31.2333,0
阿科里乡,101.7494,31.3975,0
二嘎里乡,101.5267,31.8144,0
俄热乡,101.4397,31.6342,0
观音桥镇泽斯都,101.7197,31.68,0
勒乌乡云盘村,102.1502778,31.53944444,0
河西乡杨家湾村,102.0658333,31.42888889,0
曾达乡龙灯村,102.0227778,31.18972222,0
撒瓦脚乡甲布脚村,101.9494444,31.58472222,0
卡拉脚乡二普鲁村,101.8561111,31.59416667,0
卡拉脚乡布基村,101.9327778,31.62083333,0
毛日乡毛日村,101.6936111,31.52972222,0
安宁镇安宁村,102.0527778,31.29472222,0
沙耳乡克尔玛村,102.0222222,31.52222222,0
俄热乡科山村,101.5144444,31.67361111,0
河东乡结木村,102.0566667,31.38222222,0
撒瓦脚乡柔热尔村,101.8494444,31.49805556,0
毛日乡甲克村,101.6958333,31.60555556,0
观音桥镇依生村,101.5736111,31.72277778,0
集沐乡根扎村,101.9538889,31.71861111,0
俄日乡二楷村,101.3338889,31.46166667,0
