ID,站名,站号,乡镇,经度,纬度,测站级别,气压,气温,风,降水,相对湿度,能见度
0,金川县国家一般气象站,56168,勒乌镇,102.0667,31.4833,13,是,是,是,是,是,是
1,独松乡,S8462,独松乡,101.9869,31.3514,16,是,是,是,是,是,否
2,咯尔乡乡政府,S8463,咯尔乡,102.0697,31.5417,16,是,是,是,是,是,否
3,撒瓦脚乡二村,S8464,撒瓦脚乡,101.9044,31.5547,14,否,是,是,是,否,否
4,马奈镇八角塘村,S8465,马奈镇,102.0039,31.2453,16,是,是,是,是,是,否
5,马奈镇卡卡足村,S8472,马奈镇,101.9372,31.1739,16,是,是,是,是,是,否
6,曾达乡坛罐窑村,S8473,曾达乡,102.0531,31.1667,16,是,是,是,是,是,否
7,安宁镇炭厂沟村,S8474,安宁镇,102.0975,31.2861,14,否,是,是,是,否,否
8,卡拉脚乡乡政府,S8475,卡拉脚乡,101.9103,31.6142,16,是,是,是,是,是,否
9,集沐乡周山村,S8476,集沐乡,102.0053,31.6575,14,否,是,是,是,否,否
10,河西乡乡政府,S8477,河西乡,102.0431,31.41,16,是,是,是,是,是,否
11,河东乡八子口村,S8478,河东乡,102.0569,31.3989,14,否,是,是,是,否,否
12,毛日乡乡政府,S8479,毛日乡,101.6711,31.5464,14,否,是,是,是,否,否
13,勒乌镇八部里村,S8480,八部里,102.0292,31.4822,14,否,是,是,是,否,否
14,沙尔乡乡政府,S8481,沙尔乡,102.0614,31.5161,14,否,是,是,是,否,否
15,安宁镇甘牛,S8576,安宁镇,102.02,31.2833,14,否,否,否,是,否,否
16,集沐乡乡政府,S8577,集沐乡,102.02,31.7144,14,否,否,否,是,否,否
17,县城城关,S8578,勒乌镇,102.0642,31.4753,14,否,否,否,是,否,否
18,卡撒乡乡政府,S8579,卡撒乡,102.0994,31.2567,14,否,否,否,是,否,否
19,观音桥镇观音村,S8580,观音村,101.6406,31.8036,14,否,否,否,是,否,否
20,咯尔乡德胜村,S8581,咯尔乡,102.0783,31.5647,14,否,否,否,是,否,否
21,马奈镇耿扎村,S8582,马奈镇,101.9211,31.1603,14,否,否,否,是,否,否
22,庆宁乡新沙村,S8583,庆宁乡,102.0581,31.6122,14,否,否,否,是,否,否
23,勒乌镇苟尔光村,S8584,勒乌镇,102.1197,31.4264,14,否,否,否,是,否,否
24,独松乡正里塘村,S9415,独松乡,101.9733,31.3725,14,否,否,否,是,否,否
25,二嘎里乡查拉沟村,S9416,二嘎里乡,101.5619,31.8056,14,否,否,否,是,否,否
26,观音桥镇松都村,S9417,观音桥镇,101.7153,31.7411,14,否,否,否,是,否,否
27,勒乌镇新开村,S9418,勒乌镇,102.1228,31.5189,14,否,否,否,是,否,否
28,集沐乡业隆村,S9419,集沐乡,101.8611,31.8153,14,否,否,否,是,否,否
29,观音桥镇斯玛都村,S8360,观音桥镇,101.6347,31.7839,14,否,是,是,是,否,否
30,勒乌镇西里寨村,S9463,西里寨村,102.1361,31.3889,14,否,是,是,是,否,否
31,庆宁乡,S9464,庆宁乡,102.065,31.5511,14,否,是,是,是,否,否
32,卡撒乡布达村,S9465,卡撒乡,102.1522,31.2333,14,否,是,是,是,否,否
33,阿科里乡,S9466,阿科里乡,101.7494,31.3975,14,否,是,是,是,否,否
34,二嘎里乡,S9467,二嘎里乡,101.5267,31.8144,14,否,是,是,是,否,否
35,俄热乡,S9468,俄日乡,101.4397,31.6342,14,否,是,是,是,否,否
36,观音桥镇泽斯都,S9469,观音桥镇,101.7197,31.68,14,否,是,是,是,否,否
37,勒乌云盘,S5863,勒乌镇,102.1502778,31.53944444,14,否,是,是,是,否,否
38,河西杨家湾,S5864,河西乡,102.0658333,31.42888889,14,否,是,是,是,否,否
39,曾达龙灯,S5865,曾达乡,102.0227778,31.18972222,14,否,是,是,是,否,否
40,撒瓦脚甲布脚,S5866,撒瓦脚乡,101.9494444,31.58472222,14,否,是,是,是,否,否
41,卡拉脚二普鲁,S5867,卡拉脚乡,101.8561111,31.59416667,14,否,是,是,是,否,否
42,卡拉脚布基,S5868,卡拉脚乡,101.9327778,31.62083333,14,否,是,是,是,否,否
43,毛日撒尔足,S5869,毛日乡,101.6936111,31.52972222,14,否,是,是,是,否,否
44,安宁安宁,S5870,安宁镇,102.0527778,31.29472222,14,否,是,是,是,否,否
45,沙耳克尔玛,S5871,沙耳乡,102.0222222,31.52222222,14,否,是,是,是,否,否
46,俄热科山,S5872,俄热乡,101.5144444,31.67361111,14,否,是,是,是,否,否
47,河东结木,S9764,河东乡,102.0566667,31.38222222,14,是,是,是,是,是,否
48,撒瓦脚柔热尔,S9765,撒瓦脚乡,101.8494444,31.49805556,14,是,是,是,是,是,否
49,毛日甲克村,S9766,毛日乡,101.6958333,31.60555556,14,是,是,是,是,是,否
50,观音桥依生,S9767,观音桥镇,101.5736111,31.72277778,14,是,是,是,是,是,否
51,集沐根扎,S9768,集沐乡,101.9538889,31.71861111,14,是,是,是,是,是,否
52,俄日二楷,S9769,俄日乡,101.3338889,31.46166667,14,是,是,是,是,是,否
