Station_Id_C,Lon,Lat,DATA
56168,102.0667,31.4833,0
S8462,101.9869,31.3514,0
S8463,102.0697,31.5417,0
S8464,101.9044,31.5547,0
S8465,102.0039,31.2453,0
S8472,101.9372,31.1739,0
S8473,102.0531,31.1667,0
S8474,102.0975,31.2861,0
S8475,101.9103,31.6142,0
S8476,102.0053,31.6575,0
S8477,102.0431,31.41,0
S8478,102.0569,31.3989,0
S8479,101.6711,31.5464,0
S8480,102.0292,31.4822,0
S8481,102.0614,31.5161,0
S8576,102.02,31.2833,0
S8577,102.02,31.7144,0
S8578,102.0642,31.4753,0
S8579,102.0994,31.2567,0
S8580,101.6406,31.8036,0
S8581,102.0783,31.5647,0
S8582,101.9211,31.1603,0
S8583,102.0581,31.6122,0
S8584,102.1197,31.4264,0
S9415,101.9733,31.3725,0
S9416,101.5619,31.8056,0
S9417,101.7153,31.7411,0
S9418,102.1228,31.5189,0
S9419,101.8611,31.8153,0
S8360,101.6347,31.7839,0
S9463,102.1361,31.3889,0
S9464,102.065,31.5511,0
S9465,102.1522,31.2333,0
S9466,101.7494,31.3975,0
S9467,101.5267,31.8144,0
S9468,101.4397,31.6342,0
S9469,101.7197,31.68,0
S5863,102.1502778,31.53944444,0
S5864,102.0658333,31.42888889,0
S5865,102.0227778,31.18972222,0
S5866,101.9494444,31.58472222,0
S5867,101.8561111,31.59416667,0
S5868,101.9327778,31.62083333,0
S5869,101.6936111,31.52972222,0
S5870,102.0527778,31.29472222,0
S5871,102.0222222,31.52222222,0
S5872,101.5144444,31.67361111,0
S9764,102.0566667,31.38222222,0
S9765,101.8494444,31.49805556,0
S9766,101.6958333,31.60555556,0
S9767,101.5736111,31.72277778,0
S9768,101.9538889,31.71861111,0
S9769,101.3338889,31.46166667,0
S2771,106.66,32.28,0
S2772,106.75,32.29,0
S2773,106.26,32.3,0
S2774,106.59,32.39,0
